name,location,cuisines,votes,rating,cost_for_two
Bombay Kulfis,HSR,Ice Cream,8,3.4,200.0
Kulfisthan,HSR,Ice Cream,5,3.4,150.0
The Baker's,HSR,"Bakery, Fast Food",32,2.4,500.0
Carnival Cakes & Breads,HSR,"Bakery, Fast Food",49,3.5,200.0
Homemade Delite,HSR,"Bakery, Desserts",21,3.6,200.0
Cheesecake Alley,HSR,"Bakery, Desserts",8,3.1,400.0
Mist n Creams,HSR,Ice Cream,38,3.9,400.0
Ice Cream Buggy,South Bangalore,Ice Cream,21,3.1,100.0
TGS Retails,HSR,"Bakery, Desserts",4,3.3,600.0
Igloo Shakez & Bytez,HSR,"Beverages, Fast Food, Desserts",7,3.1,300.0
Stoned Monkey,HSR,"Desserts, Ice Cream",230,3.9,500.0
Krispy Kreme,HSR,"Desserts, Beverages",150,3.9,300.0
Cake Dilim,HSR,"Bakery, Desserts",90,3.7,400.0
Keventers,HSR,"Desserts, Beverages, Ice Cream",11,3.6,400.0
CakeBox,HSR,"Bakery, Desserts",18,3.5,400.0
Bistro Claytopia,Koramangala 1st Block,"Cafe, American, Italian, Burger",1847,4.1,600.0
Vegan Heat,Koramangala 1st Block,"Healthy Food, Salad",314,4.1,650.0
eat.fit,Bellandur,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",634,4.5,500.0
Bakingo,Koramangala 1st Block,"Bakery, Desserts",75,4.0,500.0
Spice It - Ibis Hotel,Bommanahalli,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",74,3.0,1200.0
Desserts Tree,Koramangala 1st Block,"Mithai, Desserts",86,3.8,100.0
Cafe Coffee Day,Sarjapur Road,"Cafe, Fast Food",13,3.1,900.0
Papacream,Sarjapur Road,"Desserts, Ice Cream",28,3.8,350.0
Cake Menu,Bommanahalli,Bakery,11,3.2,400.0
Me And My Cake,Bommanahalli,"Bakery, Desserts",4,3.2,500.0
Amour Fine Patisserie,HSR,"Cafe, Desserts, Continental",82,4.0,500.0
Blk Plus Wht,HSR,"Asian, Thai, North Indian",116,4.3,800.0
TBC Sky Lounge,HSR,"Continental, Asian, Italian, North Indian",6745,4.7,1000.0
Zee5 Loft,HSR,"Cafe, Burger, Pizza, Sandwich",792,4.4,700.0
Shift,HSR,"Finger Food, Continental, North Indian",1884,4.2,1500.0
Hangover,HSR,"Asian, Continental, Finger Food",797,4.3,1500.0
House Of Commons,HSR,"Continental, Asian, North Indian",3573,4.7,1000.0
Broadway - The Gourmet Theatre,HSR,"Japanese, North Indian, Italian, Korean, Mexican, Thai",1149,4.2,1800.0
Onesta,HSR,"Pizza, Cafe, Italian",3764,4.4,600.0
Vanilla Sky,HSR,"Chinese, Continental, North Indian, Finger Food",766,4.6,1200.0
Baar Union,HSR,"Continental, Finger Food, Asian, Chinese",634,4.6,850.0
Cirkus,HSR,"North Indian, Continental, Fast Food, Beverages, Pizza",331,4.3,1400.0
Bonum cibum,HSR,"Lebanese, Turkish",196,4.5,1200.0
Kitchen On Table,HSR,"BBQ, Chinese, Japanese, Asian",790,4.3,1000.0
Al Daaz,HSR,"North Indian, Continental, BBQ",583,4.2,550.0
Here & Now,HSR,"Cafe, American, Burger, Beverages",1582,4.6,750.0
Baithak,HSR,"Continental, North Indian, Mughlai",1383,4.2,1100.0
The Rasoiya Street,HSR,"North Indian, Continental, Mediterranean, Chinese",1324,4.1,800.0
Once Upon A Flame,HSR,"Steak, Continental, Burger, BBQ",2069,4.5,1200.0
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,"Cafe, Continental, Pizza, Salad",1101,4.3,700.0
Safe House,HSR,"Continental, North Indian, Chinese, Finger Food",1372,4.1,900.0
Moti Mahal Delux,HSR,"North Indian, Mughlai",558,4.0,1000.0
Aasife & Brothers Biriyani Centre,HSR,"Biryani, North Indian, South Indian, Chinese",125,3.9,600.0
Silbatti,HSR,North Indian,1554,3.9,750.0
The Colony Gastropub,HSR,"Modern Indian, Continental",512,4.1,1200.0
Kapoor's Cafe,HSR,North Indian,917,4.0,800.0
The Punjabi Rasoi,HSR,North Indian,1829,4.0,800.0
Beijing Bites,HSR,"Chinese, Thai",400,3.9,850.0
Pazzo,HSR,"American, Modern Indian, Italian, South Indian",372,4.3,700.0
Grapevine,HSR,"Cafe, Continental, Italian, Beverages, Mediterranean",733,4.1,1200.0
Mughal Treat,HSR,"North Indian, Chinese, Mughlai",437,4.0,600.0
Third Wave Coffee Roasters,HSR,"Cafe, Continental",141,4.2,800.0
Purnabramha Maharashtrian Restaurant,HSR,Maharashtrian,829,3.7,850.0
Sangam Sweets,HSR,"Mithai, Street Food",148,3.9,200.0
HSR High Street,HSR,"Hyderabadi, North Indian, South Indian, Biryani",320,3.8,800.0
La Estranger Cafe,HSR,"Cafe, Burger, Sandwich, Beverages",47,3.8,500.0
Fish & Fries Restaurant,HSR,"Continental, Seafood, Bengali, Fast Food",648,4.0,750.0
Rashtrakutas,HSR,"South Indian, Biryani, North Indian",403,4.0,800.0
Caffe Pascucci,HSR,"Cafe, Continental, Pizza, Italian, Beverages",720,4.1,950.0
Howlin Wolf,HSR,"Italian, Mediterranean, European, Sandwich",93,4.1,700.0
Napoli Italian Bistro,HSR,"Italian, Mexican, Continental, Pizza",1060,4.1,1200.0
Kumarakom,HSR,"Kerala, Seafood, South Indian, North Indian, Chinese",1166,3.8,600.0
Zero Mile Punjab,HSR,"North Indian, Mughlai",1338,4.1,800.0
Ziyan's Cafe 27th,HSR,Kerala,61,4.0,300.0
Vintage Shack,HSR,"North Indian, Continental",161,3.9,900.0
Bathinda Junction,HSR,North Indian,535,4.0,600.0
Smally's Resto Cafe,HSR,"Cafe, Italian, Burger, American, Steak",128,4.0,650.0
Parika Multicuisine & Coastal Fine Dine,HSR,"Mangalorean, Seafood, North Indian, Chinese",602,3.9,1000.0
Helloo Delhi,HSR,North Indian,880,3.9,1000.0
Kanti Sweets,HSR,"Mithai, Street Food",151,3.8,400.0
New Gongura Grand,HSR,"Andhra, Biryani, North Indian, Chinese",368,3.9,550.0
Soup'ermanz Kitchen,HSR,"Cafe, Continental, Burger",439,4.1,750.0
Birinz,HSR,"Biryani, Kebab, Fast Food",78,4.2,400.0
The Vape,HSR,"Asian, Beverages",603,4.0,800.0
Mustard Food Court,HSR,"North Indian, Chinese",338,3.9,500.0
Punjabi Nawabi,HSR,North Indian,987,4.0,500.0
Sufra Restaurant,HSR,"North Indian, Chinese",112,3.7,800.0
Sichuan,HSR,"Chinese, Asian, Seafood",492,4.0,800.0
Grilliez,HSR,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",564,4.1,600.0
Shanmukha,HSR,"Biryani, Andhra, North Indian, Chinese",988,4.0,800.0
Gourmet Food Truck,South Bangalore,Chinese,17,3.8,200.0
Mishmash,HSR,"Mediterranean, Continental, North Indian, Mughlai, Salad",1245,3.9,1400.0
Sunny Cafe & Kitchen,HSR,"Cafe, Continental, Beverages, Desserts",499,3.8,700.0
Petoo,HSR,"North Indian, Fast Food, Street Food",115,3.8,800.0
Kadal Da Meen,HSR,"Biryani, Seafood",117,3.9,900.0
The Grub Central,HSR,"Cafe, Italian, Continental",803,4.0,700.0
Empire Restaurant,HSR,"North Indian, Mughlai, South Indian, Chinese",3833,3.9,750.0
Nanda's,HSR,"North Indian, Chinese, Andhra",361,2.9,450.0
House Stark Cafe,HSR,"Cafe, Desserts, Fast Food, Burger",44,3.9,300.0
Matka,HSR,"North Indian, Biryani",27,3.5,700.0
Cafe Mondo,HSR,"Cafe, Italian, Pizza, Chinese",484,3.6,700.0
Dhaba Bytes,HSR,North Indian,131,4.1,650.0
Azimmo Treat,HSR,"North Indian, Chinese",41,3.8,700.0
Lounge 189,HSR,"Continental, Italian",157,3.8,1300.0
Howrah Bridge,HSR,"Bengali, Seafood",292,3.3,600.0
Krutunga,HSR,"Andhra, Biryani",289,3.6,500.0
JFD Cafe,HSR,Cafe,37,2.8,400.0
Atithi,HSR,"North Indian, Chinese, Street Food",224,3.9,800.0
Hatti Punjab Di,HSR,"North Indian, Chinese",24,3.3,600.0
New Delicacy,HSR,"Chinese, Thai, Momos",86,3.7,500.0
M.M Restaurant,HSR,"Chinese, North Indian, Biryani",185,3.9,600.0
Rajesh Restaurant,HSR,"North Indian, Chinese, South Indian, Continental",59,3.5,700.0
A2B - Adyar Ananda Bhavan,HSR,"South Indian, North Indian, Chinese, Street Food, Fast Food",484,2.8,400.0
Keep It Straight Cafe,HSR,"Cafe, North Indian, Fast Food",202,3.9,500.0
Luo Han,HSR,"Chinese, Thai",777,3.6,500.0
New Prashanth Hotel,HSR,"South Indian, Biryani, Chinese, North Indian",53,3.1,750.0
Sarvam,HSR,"South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",121,3.6,550.0
Biriyani Zone,HSR,"Biryani, North Indian, Chinese, Seafood",668,3.9,800.0
Dindigul Time Pass Restaurant,HSR,"South Indian, North Indian, Chinese, Biryani",115,3.2,700.0
Grigliato,HSR,"Italian, Chinese, Continental, Steak",716,3.9,1000.0
The Spice Factory,HSR,"North Indian, Mughlai, Chinese",29,3.1,550.0
Bindu Garden Bar & Restaurant,HSR,"North Indian, Chinese",36,3.1,550.0
Canopy Flavours,HSR,"Cafe, Fast Food",49,2.6,450.0
Shri Madhuram,HSR,"South Indian, North Indian",371,3.9,400.0
Vasudev Adiga's,HSR,"South Indian, North Indian, Chinese, Street Food",532,3.7,250.0
Anjappar,HSR,"Chettinad, South Indian",304,2.9,650.0
Hotel Junior Kuppanna,HSR,"Chettinad, South Indian",266,3.1,550.0
Fine Dine Restaurant,HSR,"North Indian, Kerala, Chinese",56,3.7,750.0
Swathi Spice n Ice,HSR,"Andhra, North Indian, Chinese",166,3.5,700.0
Aaranya Restaurant,HSR,"North Indian, Chinese, Mughlai",212,3.4,800.0
Cinnamon,HSR,"North Indian, Chinese, Biryani",450,3.9,550.0
Nandhini Deluxe,HSR,"Andhra, North Indian",95,3.6,800.0
HSR Agarval Bhavan,HSR,"South Indian, Street Food, Fast Food, Desserts, Beverages",68,3.2,400.0
Healthy Yummy Food Restaurant,HSR,"Beverages, North Indian, Chinese, Italian",16,3.6,900.0
Punjabi Tadka,HSR,"North Indian, Chinese",188,2.8,400.0
The Open Cafe,HSR,"Cafe, Chinese, Continental",15,3.7,500.0
Cafe Coffee Day,HSR,Cafe,36,3.8,650.0
Reddy's Restaurant,HSR,"Andhra, Biryani, South Indian, Chinese",141,3.7,500.0
Hotel Dine City,HSR,"North Indian, South Indian, Chinese, Arabian",83,3.5,800.0
Kuttanadu,HSR,"Kerala, Chinese, Seafood, North Indian",261,2.8,700.0
That Garage Cafe,HSR,"Cafe, Italian, Continental, European, Biryani, Chinese",102,3.1,650.0
Brimstone Cafe,HSR,"Cafe, Continental, Salad, Italian",390,4.0,1300.0
Sree Abhiruchi,HSR,"Andhra, Biryani, North Indian",20,2.6,600.0
Feastaurant,HSR,"Bengali, Chinese",27,3.7,800.0
Meeraa's Beegara Oota,HSR,"South Indian, Biryani, Chinese",258,3.8,550.0
Gold Bean,HSR,Cafe,113,2.5,550.0
Bengaluru House,HSR,South Indian,21,2.6,700.0
The Egg Factory,HSR,"Continental, American",136,4.0,750.0
Biriyani Bungalow,HSR,"Biryani, North Indian",4,3.2,600.0
Foodiesthan,HSR,"Cafe, Fast Food, North Indian",59,3.7,600.0
Rock View Family Restaurant,HSR,"North Indian, Chinese",8,3.3,700.0
Hotel Reddy Bhavan,HSR,"Biryani, North Indian, Chinese, Andhra",11,3.4,300.0
Poorvika Restro Cafe,HSR,"Chinese, North Indian",76,3.7,700.0
Reddy's Paradise,HSR,Andhra,46,3.1,700.0
Mak n Vak - Fyn,HSR,"North Indian, Chinese",337,3.9,500.0
Golden Restaurant,HSR,"North Indian, Mughlai",411,3.4,750.0
Aroma Fine Dine,HSR,"North Indian, Mughlai, Chinese, South Indian",127,4.0,900.0
5th Main Cafe,HSR,"Cafe, Fast Food",15,3.5,250.0
A Bar,HSR,"North Indian, Continental",19,3.3,600.0
Kairos,HSR,"Cafe, Italian, European",63,3.8,1000.0
Chaai Resto,HSR,"Tea, Beverages, Fast Food",92,3.9,250.0
PSV's Andhra Paradise,HSR,"Andhra, Chinese, North Indian, Hyderabadi",117,3.5,600.0
Sri Udupi Park,HSR,"South Indian, North Indian, Chinese, Beverages",64,4.0,300.0
Stark Bistro,HSR,"Continental, North Indian, Chinese, Burger, Pizza, Salad",30,3.6,850.0
Big Mama,HSR,"Cafe, Continental, Italian",6,3.3,600.0
Thalassery Mess,HSR,Kerala,7,3.3,300.0
UBCR Cafe & Resto,HSR,"Cafe, Burger, Continental, Chinese",17,3.6,500.0
Dum & Oven,HSR,"North Indian, Hyderabadi, Continental",29,3.7,600.0
7 Degrees North,HSR,North Indian,11,3.5,500.0
Nature's Nectar,HSR,"Continental, Healthy Food",38,3.7,600.0
Le Rosa Restaurant,HSR,"North Indian, Mughlai, Biryani",4,3.2,700.0
Indian Dhaba,HSR,"North Indian, Chinese",7,3.3,450.0
Rolex Food Palace Restaurant,HSR,"Chinese, North Indian, Arabian, Kerala",9,3.4,850.0
Mahek E Punjab,HSR,"North Indian, Chinese",7,3.1,500.0
World Of Kebabs,HSR,"Mughlai, Awadhi, Kebab",5,3.4,600.0
Punjab Di Shaan,HSR,North Indian,39,3.0,450.0
The Little Chef,HSR,"North Indian, Chinese",136,3.5,600.0
Foxtail Rodeo,South Bangalore,"Chinese, Street Food",13,3.5,300.0
Dhaba Central,HSR,North Indian,5,3.3,650.0
Begum's Biriyani,HSR,"Biryani, North Indian, Chinese",4,3.2,500.0
Igloo Shakez & Bytez,HSR,"Beverages, Fast Food, Desserts",7,3.1,300.0
Swad 'E' Punjab,HSR,"North Indian, Chinese, Mughlai",49,3.6,500.0
Shree Khana Khazana,HSR,"North Indian, Chinese, Rajasthani",356,3.9,450.0
Samaikya,HSR,"Andhra, Seafood, Biryani",533,3.9,900.0
Dragon's Kitchen,HSR,Chinese,248,3.1,500.0
Wangs Kitchen,HSR,Chinese,438,2.4,1000.0
Feaster,HSR,"Continental, Asian, Chinese, Italian, North Indian",88,3.8,600.0
SR Biriyani Palace,HSR,Andhra,8,3.3,300.0
Om Sai Baba Mess,HSR,South Indian,11,3.1,250.0
Talk Over Table Cafe,HSR,"Cafe, Italian, Beverages",86,3.7,500.0
Dakshin Flavors,HSR,"South Indian, North Indian",206,3.1,600.0
Bangaliana,HSR,Bengali,310,3.7,600.0
Navya's,HSR,"North Indian, Andhra, Chinese",46,2.9,600.0
Mumbai Tiffin,HSR,North Indian,1288,4.4,400.0
TRUE BLEU RESTO CAFE,HSR,"Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",70,4.2,400.0
Leon Grill,HSR,"Turkish, Arabian, Fast Food, Desserts, Healthy Food, Salad",1099,4.3,450.0
Charcoal Eats,HSR,"Mughlai, Biryani, Fast Food",54,4.0,500.0
Moolehatti Donne Biryani Mane,HSR,"Biryani, Chinese, North Indian, Kebab",218,3.6,400.0
Chaat Trail By Moti Mahal,HSR,"Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani",46,3.9,300.0
Snakk That,HSR,"Burger, Beverages, Fast Food",54,3.9,250.0
KFC,HSR,"Burger, Fast Food",622,3.6,400.0
Punjabi Nukkad Pure Veg,HSR,"North Indian, Chinese, Juices",769,4.0,500.0
Hotel Salam,HSR,"North Indian, Chinese, Biryani",128,4.1,400.0
Raghavendra Tiffin,HSR,South Indian,222,4.4,150.0
Mirch,HSR,"North Indian, Biryani",94,3.7,400.0
Shree Muthahalli Veg,HSR,"South Indian, North Indian, Chinese, Juices, Ice Cream",842,4.1,300.0
The Tandoori Chai,HSR,"North Indian, Fast Food, Street Food, Beverages",60,3.9,400.0
California Burrito,HSR,"Mexican, Fast Food",110,4.1,400.0
Faasos,HSR,"North Indian, Biryani, Fast Food",355,3.9,500.0
Noon's,HSR,Biryani,162,4.2,300.0
Shankar Maanes Kitchen,HSR,"South Indian, Biryani, North Indian",33,3.8,500.0
Cheesy Juicy Burgers,HSR,"Burger, Fast Food",18,3.8,500.0
Polar Bear,HSR,"Ice Cream, Desserts, Beverages, Sandwich",221,4.0,400.0
Navya Foods,HSR,"North Indian, Fast Food",7,3.4,300.0
The Waffle Street,HSR,"Continental, Beverages, Burger, Coffee, Desserts",46,3.9,300.0
Tawa Ghar Ka,HSR,North Indian,331,3.8,350.0
Sri Dalma,HSR,"Oriya, Bengali",77,3.8,350.0
#L-81 Cafe,HSR,"Fast Food, Beverages",48,3.9,400.0
Kabab Magic,HSR,"North Indian, Kebab, Fast Food",282,3.1,500.0
Aao G Khao G,HSR,"North Indian, Chinese",11,3.5,200.0
de Ranthal,HSR,Kerala,34,3.8,300.0
Madeena Hotel,HSR,"North Indian, Mughlai, Biryani",236,3.9,400.0
New Punjabi Dhaba,HSR,"North Indian, Chinese",783,3.9,300.0
Davanagere Benne Dose,HSR,South Indian,106,3.9,150.0
Make It Roll,HSR,"Rolls, Salad, Sandwich",33,3.8,400.0
Shubh Sweets,HSR,"Street Food, Mithai, Momos",331,3.9,400.0
Biryani Palace,HSR,"Biryani, Hyderabadi, Chinese",460,3.9,600.0
Tharavadu,HSR,"Chinese, North Indian, Kerala",83,3.8,400.0
McDonald's,HSR,"Burger, Fast Food",510,3.8,500.0
Uptown Sliders & Shakes,HSR,"Burger, Fast Food, Beverages",113,3.9,600.0
Families Food Court,HSR,"North Indian, Chinese, Biryani, Rolls",261,3.9,400.0
Donne Biriyani House,HSR,Biryani,278,3.8,200.0
Sri Krishna Sagar,HSR,"South Indian, North Indian, Chinese, Street Food, Juices",234,3.5,400.0
Masala Secret Eat WOW,HSR,"Street Food, Fast Food, Chinese, Momos",14,3.6,300.0
Domino's Pizza,HSR,"Pizza, Fast Food",251,3.8,400.0
The Rasaganga,HSR,"South Indian, North Indian, Chinese, Street Food",163,3.9,300.0
Amrutha Sweets,HSR,"Street Food, Mithai",116,4.1,200.0
Ambur Star Briyani,HSR,"Biryani, Kebab",227,2.8,500.0
Northam's Pizza.Pita,HSR,"Italian, Pizza",672,4.1,450.0
Le Charcoal Xpress,HSR,"Arabian, BBQ, Rolls, Lebanese",164,4.0,500.0
Hotel Manu,HSR,"South Indian, Kerala, Chinese, North Indian",340,3.9,400.0
Khai Khai,HSR,Bengali,50,3.9,450.0
OMY Grill,HSR,"Biryani, Rolls, Fast Food",34,3.8,300.0
Second Wife Cafe,HSR,"Arabian, North Indian",61,3.8,400.0
Hotel Tanish,HSR,South Indian,15,3.7,250.0
Kaka-T-Cafe,HSR,"Arabian, Fast Food",60,4.0,400.0
The Sandwich Club,HSR,Fast Food,88,3.9,250.0
Southinn,HSR,"South Indian, Fast Food, Chinese, North Indian, Street Food",190,3.8,250.0
Subway,HSR,"Salad, Fast Food",382,3.1,600.0
99 Variety Dosa and Pav Bhaji,HSR,"South Indian, North Indian, Street Food",101,4.0,250.0
Pappu Chaiwalla,HSR,"Fast Food, Tea, Beverages",689,3.9,300.0
Spicy Kitchen,HSR,"Andhra, North Indian",63,3.8,500.0
Fun Kitchen,HSR,"North Indian, Chinese, Fast Food",90,3.8,400.0
Nandhanam Restaurant,HSR,"South Indian, Kerala",7,3.7,300.0
Chef Baker's,HSR,"Continental, Cafe, Desserts, Italian, Bakery",204,3.8,600.0
Garage Food Company,HSR,"Chinese, Momos",43,3.8,300.0
The Mylapore Cafe,HSR,"South Indian, Kerala",119,4.1,200.0
GrannyzHut,HSR,"Bengali, North Indian",8,3.4,350.0
Paratha Plaza,HSR,North Indian,184,3.8,250.0
Kachori Kafe,HSR,"Street Food, Mithai, Desserts, North Indian",571,3.2,300.0
Bangalore Cafe,HSR,"South Indian, Fast Food",197,3.7,400.0
Raichur Biryani House,HSR,"Biryani, North Indian, Chinese",283,3.8,400.0
Nutty Affair,HSR,Desserts,30,3.7,350.0
Udupi Palace,HSR,"South Indian, North Indian, Chinese, Street Food",446,3.7,400.0
Tasty Treat,HSR,"North Indian, Chinese, Biryani, Rolls",131,3.1,400.0
Bewiched,HSR,"Fast Food, Sandwich, Burger",10,3.4,300.0
Sree Bangalore Bhavan,HSR,South Indian,44,3.7,400.0
Foodzoo,HSR,"North Indian, Chinese, Street Food",123,3.6,300.0
Dr. Shawarma,HSR,"North Indian, Rolls, Street Food",4,3.5,200.0
Arogya,HSR,"South Indian, North Indian, Chinese",9,3.4,100.0
New Udupi Grand,HSR,"South Indian, North Indian, Chinese, Street Food",36,3.7,250.0
HSR SLV Fast Food,HSR,"South Indian, Fast Food",34,3.7,200.0
Tasty Noodle,HSR,"Chinese, Seafood",5,3.4,400.0
Mandya Gowdru Donne Biriyani,HSR,"Biryani, South Indian",282,3.8,350.0
Bihar Ki Shan,HSR,North Indian,347,3.8,300.0
Pizza Hut,HSR,"Pizza, Fast Food",452,3.1,750.0
Chaat Express,HSR,"Fast Food, North Indian",14,3.5,200.0
Ice Treat,HSR,"Juices, Ice Cream",43,3.8,200.0
Wheat House,HSR,"Kerala, South Indian, Fast Food",11,3.3,400.0
Donne Biriyani Mane,HSR,"Biryani, Kebab",23,3.2,400.0
Delite Chaat House,HSR,"Street Food, Gujarati",179,3.4,300.0
Rolls On Wheels,HSR,"Fast Food, Rolls, Momos",218,3.6,300.0
Yo! Thali,HSR,"North Indian, South Indian, Chinese",4,3.5,400.0
Kakatiya's,HSR,"South Indian, Biryani",6,3.1,250.0
@Italy,HSR,"Italian, Pizza",40,3.5,700.0
Idli & Dosa Cafe,HSR,South Indian,91,2.6,200.0
Calvin's,HSR,Desserts,22,3.8,800.0
RotiCurry,HSR,"Street Food, North Indian",28,3.1,300.0
Wang's Xanadu Momo,HSR,"Tibetan, Chinese, Momos",14,3.8,250.0
Udupi Bhavan,HSR,"Chinese, North Indian, South Indian",171,3.8,400.0
Shawarma Hunt,HSR,Arabian,9,3.4,300.0
Hotel Palace,HSR,"Biryani, Chinese",24,3.7,250.0
Pizza Cart,HSR,Pizza,80,3.8,800.0
Juice Junction Food Court,HSR,"Juices, South Indian, Chinese, Fast Food",211,3.8,200.0
The Food Factory,HSR,"North Indian, Chinese",42,2.7,450.0
Momos Corner,HSR,Chinese,6,3.3,250.0
Murli,HSR,"North Indian, Chinese, Street Food, Fast Food, Mithai",79,3.7,500.0
Kolkata Roll & Fast Food,HSR,Fast Food,15,3.6,250.0
Wow Vada Pav,HSR,"Street Food, Burger, Fast Food",40,3.7,150.0
GKT Biryani World,HSR,"Biryani, Italian, BBQ",83,3.7,350.0
The Village Hotel,HSR,Kerala,14,3.5,450.0
Sri Gurudev Darshini,HSR,South Indian,13,3.5,150.0
Lazeez Corner,HSR,"North Indian, Mughlai, Chinese",7,3.1,500.0
Nellore Abhiruchi,HSR,"Biryani, South Indian",7,3.3,300.0
Indian Paratha Factory,HSR,North Indian,140,2.7,250.0
Chandu Dhaba,HSR,"Street Food, Chinese, Fast Food",40,3.8,250.0
The Biryani Palace,HSR,"Biryani, Andhra",12,3.0,500.0
New Punjabi Pure Veg Restaurant,HSR,North Indian,10,3.5,300.0
The Duke of Juices,HSR,"Juices, Beverages, Salad",5,2.8,200.0
AutoExpress - Hot Dogs,HSR,Fast Food,5,3.3,300.0
Hello Brother Hotel,HSR,"North Indian, Chinese",6,3.4,300.0
Zodiac Grills,HSR,"North Indian, Chinese",4,3.2,500.0
Krishna Grand,HSR,South Indian,42,3.2,200.0
Spice of Andhra,HSR,Andhra,41,3.7,500.0
Just Dosa,HSR,South Indian,34,3.7,200.0
Bangarpet Chats,HSR,Street Food,5,3.3,100.0
Just Bake,HSR,"Bakery, Desserts",7,3.4,400.0
Goli Vada Pav No. 1,HSR,Street Food,69,3.8,200.0
Five Star Chicken,HSR,"Fast Food, Burger",82,3.7,300.0
Pavan Tiffin Center,HSR,South Indian,8,3.3,300.0
Moradabadi Special Biryani,HSR,Biryani,6,3.4,250.0
Ithaa's Biriyani,HSR,"Biryani, Chinese, North Indian",12,3.4,500.0
ChopServe,HSR,Chinese,5,3.5,300.0
Sandwich Truffles,HSR,Fast Food,8,3.3,400.0
Muziris,HSR,Kerala,24,3.6,250.0
Bangarpet Chats,HSR,Street Food,9,3.3,150.0
Panchamuki Fastfood,HSR,"South Indian, Beverages",12,3.5,300.0
Rayaan's Restaurant,HSR,"North Indian, Chinese, Arabian",155,3.6,500.0
Saahib,HSR,"Fast Food, Rolls",89,3.9,300.0
Andhra Vantillu,HSR,"South Indian, North Indian",4,3.3,350.0
Ammi's Biryani,HSR,"Biryani, North Indian",114,2.8,500.0
Ambur Chicken Biryani,HSR,Biryani,9,3.1,250.0
Ande Ka Funda,HSR,"North Indian, Chinese, Rolls",5,3.3,200.0
Purani Dilli,HSR,"North Indian, Chinese",4,3.2,300.0
House of Mandarin,HSR,Chinese,4,3.3,300.0
Amma's Cafe,HSR,Fast Food,6,3.2,300.0
Ambur Biryani,HSR,"South Indian, Fast Food",5,3.2,450.0
Ambur Tasty Biriyani,HSR,Biryani,4,3.2,200.0
Chattar Mattar,HSR,"North Indian, Chinese",11,3.5,150.0
Swadisht North Indian Restaurant,HSR,North Indian,23,3.2,200.0
Meat and Eat,HSR,"Fast Food, Burger",52,3.0,500.0
As On Fire,HSR,"Pizza, Fast Food, BBQ",174,3.8,400.0
Cafe Madhura,HSR,South Indian,59,3.8,200.0
Juicemaker,HSR,"Beverages, Fast Food",68,3.7,400.0
Punjabi Handi,HSR,"North Indian, Chinese",19,2.9,400.0
Donne Biriyani House,HSR,"Biryani, South Indian",73,3.2,400.0
DS Juice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Grill,HSR,"Fast Food, Juices, Chinese",67,3.2,200.0
Zaikedar Kitchen,HSR,North Indian,17,3.2,400.0
Dakshin Sagar,HSR,"South Indian, North Indian, Chinese, Street Food",325,3.1,400.0
Chaat Street,HSR,"Street Food, North Indian",192,3.8,250.0
Indori Zaika,HSR,North Indian,105,2.8,300.0
Classic Biryani Hut,HSR,"Biryani, Fast Food",10,3.4,300.0
Kadavu Shappu Currys,HSR,Kerala,50,3.3,400.0
The Fisherman's Wharf,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",4108,4.3,1400.0
OPUS Club,Sarjapur Road,"Continental, Italian, North Indian, Mexican",1508,4.5,1900.0
Foxtrot - House of Subculture,Koramangala 3rd Block,"Cafe, American, Asian, North Indian",366,4.4,1000.0
Barbeque Nation,Koramangala 1st Block,"North Indian, European, Mediterranean, BBQ, Kebab",3614,4.7,1600.0
Opus Food Stories,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",178,4.6,1500.0
Bistro Claytopia,Koramangala 1st Block,"Cafe, American, Italian, Burger",1847,4.1,600.0
Little Italy,Sarjapur Road,"Italian, Pizza",715,4.3,1500.0
Mimansa @ Foxtrot,Koramangala 3rd Block,Cafe,190,4.4,1000.0
Asia Alive - DoubleTree Suites By Hilton,Sarjapur Road,"Continental, Thai, Malaysian, Burmese, Korean, Vietnamese, Chinese, North Indian",238,4.1,2000.0
The Meal Story,Sarjapur Road,"North Indian, Street Food",258,4.2,700.0
Mani's Dum Biryani,Koramangala 1st Block,"Biryani, Kebab",374,3.9,750.0
Tapout Tavern,Sarjapur Road,"American, Asian, Continental, North Indian, South Indian, Chinese",326,4.1,1200.0
SR Andhra Spicy House,Bommanahalli,Andhra,240,3.8,800.0
The Alphaa,Bommanahalli,"Andhra, North Indian, Chinese, Biryani, Seafood",272,3.8,550.0
Abhiruchi Hotel,Bommanahalli,"North Indian, Biryani, Seafood",12,3.2,700.0
Pingara,Koramangala 1st Block,"North Indian, Chinese, Mangalorean",93,3.8,550.0
